Codigo;Prompt
f1_a;"Create a hyper-realistic image in 8K resolution faithfully maintaining my face, features, skin color, eyes and hair according to the reference image. I am the person in the photo, I maintain my serious, focused and constant, with his gaze slightly tilted upward, transmitting stump, discipline and strength. I am in a modern interior environment with artistic lighting, where white light beams cross diagonally over the blue-gray background, creating a dramatic and cinematic effect. The environment is minimalist and clean, completely breaking the look and expression. The frame is from a side profile, showing the face and torso, with Focus on the look and details of the sports jumpsuit. The look is that of a Formula 1 driver's suit, predominantly red, with official logos and authentic brand details. sponsors, including: Red Bull, with the central logo in yellow and red; Honda, Ray-Ban, Pirelli and Santander, embroidered in white on the sleeves and chest; Puma, with the white logo on the shoulder and collar; Other realistic automotive patches that improve appearance. professional. I'm wearing a black cap with the Red Bull Racing logo embroidered on the front, White details on the sides and curved brim. The cap casts a subtle shadow. on the face, reinforcing the introspective mood. The pose is firm and professional: Head raised and slightly turned to the right; Body in a straight posture, with shoulders aligned; Expression of determination and concentration, typical of a portrait. sports editorial. The lighting is soft, lateral and contrasted, creating subtle shadows and highlighting the contour of the face and the texture of the tissue. The color palette is made up of vibrant shades of red, black and white. and cold gray, which transmits modernity and power. The overall atmosphere is cinematic and inspiring: remember the strength of mine and champion. Quality: 8K hyperrealistic photography, sharp and uniform focus on the face, controlled contrast. Realistic sports fabric texture and three-dimensional soft light. Important: Maintain my original face, hair and skin color. Maintain the profile pose and determined expression. Reinforce the diagonal light effect in the background and environment. film."
f1_b;"Create an image: A close-up cinematic portrait of the person designated as the pilot. Formula 1 inside a red Ferrari, seen from the front and slightly from the side. The pilot's helmet stands out in the frame with red, white and black details that reflect soft light. In the helmet there is ""RED BULL"" sponsorship logo on the lower front. The pilot's face is partially visible through the transparent visor, revealing Focused and expressive eyes, which convey concentration and determination. The cockpit is surrounded by a carbon fiber halo safety structure. Matte black, with realistic texture and subtle reflections. around the body Ferrari's deep red color features the classic black horse logo. Yellow background with green, white and red outline. The ""RED"" brand BULL' appears in white on the side of the car, next to the helmet. The lighting is soft and diffuse, creating a dramatic contrast between the vibrant red of the car and the dark shadows of the cabin's interior. Details of stickers and sponsors such as ""Shell V-Power"" and ""HEINEKEN"" are visible on the surfaces. The depth of field is short, leaving the pilot in focus and the background slightly out of focus, suggesting a box or garage environment. The atmosphere of the image is one of intensity and professionalism, capturing the moment before the race, with an emotional and respectful tone. The photography style is realistic and detailed, with saturated colors, metallic texture and high sharpness, similar to editorial sports photography. Keywords: close-up, Ferrari Formula 1, driver inside the cockpit, red and black helmet, safety halo, focus on eyes, Ferrari logo, Ray-Ban, Shell V-Power, realistic texture, sports photography, intense atmosphere, soft lighting, high sharpness, cinematic realism"
f1_c;"A realistic portrait of the person attached, she poses in a predominantly red, inside a Formula One garage or box 1 for the Ferrari Team. She is dressed in a full running suit. in intense red, with white details and logos of different sponsor colors such as Ferrari, Shell, Pepsico, Santander, Red Bull, AWS, Pirelli, Puma and Heineken, among others. On the left side of the chest is the iconic yellow Ferrari shield with a black prancing horse. oh The jumpsuit has visible white stitching and velcro closures on the cuffs. She is leaning against a red counter, arms crossed. relaxed manner, an Apple Watch on his left wrist and a silver ring on his right hand. He wears large white over-ear headphones, which completely cover his ears. His gaze is serious and concentrated, directed towards the camera, transmitting confidence and tranquility before a race. In the background is a detailed red and white racing helmet. gold, the Ferrari logo and the name ""Red Bull"" visible on the side. The helmet rests on a red surface and the environment is illuminated by a linear white light that gently reflects on the shiny surfaces. The walls and furniture are all in shades of Ferrari Red, with black and white lines that give a modern touch and technology to the space. The image composition is symmetrical and professional, with the pilot centered on the frame. The focus is on his face and clothing, while the background, although visible, is slightly blurred to highlight the subject. major. The color palette is dominated by shades of red, white and metallic touches, conveying the classic, luxurious and sporty aesthetic of the Ferrari Team. Suggested image style: realistic high definition photography, soft and controlled lighting, focus on the face and texture of the Overalls, premium automotive atmosphere, saturated colors and contrasts. Balanced and sporty Formula 1 editorial style."
f1_d;"Create an image: A professional portrait of the attached person as a Formula 1 driver in studio, posing with a serious and confident expression. She is facing the camera, with her arms crossed in front of her chest in a firm and concentrated. He has a slight look of determination and is wearing a Black racing suit from the Red Bull Racing team, replete with sponsor logos in vibrant colors: ""Red Bull in large red letters on the front and on the arms, ""Pepsico"", ""Santandee"", ""TAG Heuer"" ""Red Bull"", ""Heineken"", ""Pirelli"", among others, distributed throughout the uniform. and on the front, the pilot wears a Helm watch. Black silver sportswear on the left wrist. The lighting is dramatic and cinematic, with intense blue background light and reddish tones reflecting on the left side of the face and hair, creating a contrast. The background is a gradient between blue and purple, giving total emphasis to the subject. highlights the competitive atmosphere and prestige of the sport, reminiscent of an official promotional poster for a Formula 1 team."
pb_a;Generate a highly detailed, photorealistic image of a man transformed into Michael Gray from Peaky Blinders, The main subject must IDENTICALLY copy ALL features from the uploaded reference photo: perfect replication of face shape, sharp bone structure, eyes, eyebrows, nose, mouth, hair style and color (slicked back if applicable), subtle mustache if present, skin details, ambitious gaze, body proportions, and overall polished appearance use the reference photo as the exact base for the face and body without any changes. Outfit: sophisticated later- seasons Michael Gray style with slim-ft three-piece suit in dark charcoal or pinstripe, crisp white dress shirt, patterned silk tie, polished black Oxford shoes, no flat cap for a more modern urban gangster look. Pose him sitting at a desk in an opulent offce, holding a glass of whiskey, calculating and ambitious expression. Background: luxurious 1920s offce with leather chairs, wood paneling, bookshelves, warm ambient lighting from desk lamp. Ultra-realistic suit sheen, glass reflections, skin pores, subtle mustache texture, elegant and treacherous atmosphere, high resolution 8K photorealistic cinematic style like Finn Cole in Peaky Blinders.
pb_b;Generate a highly dynamic, photorealistic cinematic action scene of the complete Peaky Blinders gang in a massive street brawl. The leader in the foreground must IDENTICALLY copy ALL features from the uploaded reference photo: perfect face, intense gaze, hair, build, expression - no alterations, use as exact base. Outfit him in disheveled three-piece tweed suit, flat cap, wielding a revolver or cap razor, mid-stride forward. Behind and around him charging: Arthur raging with Ests, John slashing, Polly directing fuercely, Michael shooting, Finn fighting, and dozens of gang members with weapons, flat caps, in chaotic melee against rivals. Background: rainy 1920s Birmingham alley with overturned carts, blood, smoke, falling men, heavy rain and mud. Epic wide-angle tracking shot with motion blur, dramatic lighting from lashes, gritty realism, ultra-detailed rain, fabric tears, sweat and blood, high resolution photorealistic in the brutal gang fight vibe of the series.
pb_c;"Generate a highly detailed, photorealistic cinematic action scene of a man transformed into Thomas ""Tommy Shelby from Peaky Blinders in an intense shootout. The main subject must EXACTLY replicate ALL facial and physical features from the uploaded reference photo: identical face shape, bone structure, eyes color and piercing intensity, jawline, hair style and color, skin tone, facial hair, body build, age appearance, and brooding expression - copy every detail from the reference photo without any changes. Dress him in classic Tommy Shelby attire: tailored dark grey three-piece tweed suit slightly disheveled from action, white shirt with blood splatter, narrow tie, long black overcoat flapping in the wind, newsboy flat cap, holding a revolver in one hand firing. Pose him in dynamic slow-motion action, striding orward through a foggy Birmingham street at night, gun smoke trailing, bullets flying, dramatic side profle with cold determined gaze. Background: 1920s industrial alley with rival gangsters falling, sparks from bullets hitting metal, rain pouring, volumetric god rays from street lamps, high contrast cool tones, epic wide-angle cinematic composition like a BBC Peaky Blinders battle scene, ultra-realistic details on gun smoke, rain droplets on face and coat, fabric tears, intense atmosphere, 8K resolution, photorealistic with gritty realism and dramatic lighting."
pb_d;Generate an ultra-detailed, photorealistic cinematic fight scene of a man transformed into Arthur Shelby Ir. from Peaky Blinders in a savage bar brawl. The main subject must PRECISELY match EVERY characteristic from the uploaded reference photo: exact rugged face, intense eyes, thick mustache, scars, hair, skin texture, muscular build, volatile expression replicate the reference photo's face and body 100% accurately. Outfit: heavy brown tweed three-piece suit torn and bloodied, shirt sleeves rolled up, loose tie, peaked fat cap knocked askew, fists clenched with knuckles bleeding. Pose him mid-punch in ferocious rage, smashing an opponent against a bar counter, sweat and blood flying, wild aggressive roar. Background: chaotic 1920s pub interior with overturned tables, broken bottles, smoke-filled air, other fighters in blur, warm reddish low-key lighting casting harsh shadowvs, dynamic close-up angle emphasizing power and instability. Hyper-realistic details on sweat beads, blood splatters, wood shards, facial veins popping, cinematic motion blur, high resolution, gritty photorealism in the violent style of Paul Anderson's Arthur Shelby fights from the series.
suit_a;realistic photograph of the full Pearson Specter Litt team walking down the grand marble steps of a New York courthouse after winning a major case, triumphant and confident expressions, bright daytime sunlight with subtle lens flare, iconic courthouse columns in background, group composition from left to right: Louis Litt (excited nervous energy, brovn suit), Rachel Zane (elegant smile, burgundy coat over dress), Mike Ross (boyish grin, navy suit), Dona Paulsen (knowing smirk, red hair flowing, black coat), Harvey Specter (center, leading with signature swagger, black suit), Jessica Pearson (powerful stride, black coat over pantsuit), Alex Kane (right side, sharp confdent look, slim-ft dark gray suit and overcoat, trimmed beard), realistic fabric movement in light breeze, natural skin textures and crowd blur in background, wide cinematic shot on 24mm lens, £/4.0, celebratory atmosphere, masterpiece, photorealistic, 8k, ultra-detailed
suit_b;Ultra-realistic photograph of Harvey Specter, Mike Ross, and THE MAN IN THE PICTURE standing together in Pearson Specter Litt's luxurious, glass-walled corner office at night, the Manhattan skyline twinkling with thousands of city lights visible through floor-to-ceiling windows behind them, warm amber office lighting contrasting with the cool blue tones of the city, highly detailed faces with natural skin textures and pores, Harvey Specter (mid-40s, sharp jawline, short, slicked-back dark brown hair, confident smile, intense brown eyes, wearing a perfectly tailored Tom Ford charcoal gray pinstripe suit, white dress shirt, slim navy tie, luxury wristwatch), Mike Ross (late 20s, youthful genius charm, short, slightly messy dark brown hair, bright blue eyes, youthful stubble, wearing a fitted navy suit, light blue shirt, no tie), THE MAN IN THE PICTURE (late 20s-early 1960s) 30, attractive sharp features, short dark brown hair styled to the side with a slight professional messiness, intense brown eyes, short trimmed beard, intelligent and confident expression, fair skin, wearing an impeccable tailored dark gray suit, white shirt, thin black tie), all three with sharp focus with cinematic depth of field, realistic fabric textures and reflections on glass surfaces, dramatic and melancholic atmosphere, subtle film grain, shot with an 85mm lens, f/1.8, masterpiece, photorealistic, 8k, ultra detailed
